Institution_ID,Institution_Name,Institution_City
101958,Henderson State University,Arkadelphia
101967,Hendrix College,Conway
101976,Hot Springs Beauty College,Hot Springs
101985,Jefferson Regional Medical Center School of Nursing,Pine Bluff
101994,John Brown University,Siloam Springs
102003,Lee's School of Cosmetology,North Little Rock
102012,Career Academy of Hair Design,Springdale
102021,Little Rock Job Corp Center,Little Rock
102030,Marsha Kay Beauty College,Mountain Home
102049,Academy of Salon and Spa,Fort Smith
102067,Mid-South Community College,West Memphis
102076,Arkansas Northeastern College,Blytheville
102085,"Margaret's Hair Academy, Inc.",Russellville
102094,New Tyler Barber College Inc,North Little Rock
102100,North Arkansas College,Harrison
102119,Northwest Technical Institute,Springdale
102128,Ouachita Baptist University,Arkadelphia
102137,College of the Ouachitas,Malvern
102146,Ozarka College,Melbourne
102155,University of the Ozarks,Clarksville
102164,University of Arkansas Community College-Morrilton,Morrilton
102173,Philander Smith College,Little Rock
102182,Phillips Community College of the University of Arkansas,Helena
102191,Southeast Arkansas College,Pine Bluff
102207,Professional Cosmetology Education Center,El Dorado
102216,Pulaski Technical College,North Little Rock
102225,University of Arkansas Community College-Hope,Hope
102234,Rich Mountain Community College,Mena
102243,Paul Mitchell The School Arkansas,Fayetteville
102252,St. Vincent Infirmary Medical Center,Little Rock
102261,Searcy Beauty College Inc,Searcy
102270,Williams Baptist College,Walnut Ridge
102298,South Arkansas Community College,El Dorado
102304,Southern Arkansas University Main Campus,Magnolia
102313,Southern Arkansas University Tech,Camden
102331,Velvatex College of Beauty Culture,Little Rock
102340,University of Arkansas-Fort Smith,Fort Smith
102359,Abram Friedman Occupational Center,Los Angeles
102368,Academy of Art University,San Francisco
102386,Academy of Chinese Culture and Health Sciences,Oakland
102401,Academy of Radio and Television Broadcasting,Huntington Beach
102410,Academy Pacific Travel College,Los Angeles
102429,Avalon School of Cosmetology - Alameda,Alameda
102438,College of Alameda,Alameda
102447,Allan Hancock College,Santa Maria
102465,American Baptist Seminary of the West,Berkeley
102474,American Film Institute,Los Angeles
102483,American Beauty College,West Covina
102508,American Career College - Los Angeles,Los Angeles
102517,American Conservatory Theater,San Francisco
102526,American Graduate University,Covina
102535,American River College,Sacramento
102544,Everest Institute - Hayward,Hayward
102553,Antelope Valley College,Lancaster
102562,Art Center College of Design,Pasadena
102571,Associated Technical College,Los Angeles
102580,Associated Technical College,San Diego
102599,Associated Technical College,Vista
102605,Azusa Pacific University,Azusa
102614,Bakersfield College,Bakersfield
102623,Barstow Community College,Barstow
102632,Bellus Academy - National City,National City
102641,Bethany University,Scotts Valley
102650,Bethesda University,Anaheim
102669,Biola University,La Mirada
102678,Brooks College,Long Beach
102696,Brownson Technical School,Anaheim
102711,Butte College,Oroville
102720,Phillips Graduate Institute,Encino
102739,California Institute of Integral Studies,San Francisco
102757,Cabrillo College,Aptos
102766,California Baptist University,Riverside
102775,California College of the Arts,Oakland
102784,University of California Hastings College of Law,San Francisco
102793,California Institute of Technology,Pasadena
102809,California Lutheran University,Thousand Oaks
102818,California Polytechnic State University-San Luis Obispo,San Luis Obispo
102854,Alliant International University,San Diego
102872,California State University - Bakersfield,Bakersfield
102881,California State University - Stanislaus,Turlock
102906,California State University - San Bernardino,San Bernardino
102915,California State Polytechnic University - Pomona,Pomona
102924,California State University - Chico,Chico
102933,California State University - Dominguez Hills,Carson
102942,California State University - Fresno,Fresno
102951,California State University - Fullerton,Fullerton
102960,California State University - East Bay,Hayward
102979,California State University - Long Beach,Long Beach
102988,California State University - Los Angeles,Los Angeles
